127.0.0.1 - - [10/Jan/2020:10:03:20 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:59:55 +0900] "GET /basicweb/basic/01_jsp%EA%B8%B0%EC%B4%88%EB%AC%B8%EB%B2%95.jsp HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:59:55 +0900] "GET /basicweb/images/devil.png HTTP/1.1" 200 11406
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:06:43 +0900] "GET /basicweb/basic/01_jsp%EA%B8%B0%EC%B4%88%EB%AC%B8%EB%B2%95.jsp HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:06:43 +0900] "GET /basicweb/images/devil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:06:43 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:16:11 +0900] "GET /basicweb/basic/01_jsp%EA%B8%B0%EC%B4%88%EB%AC%B8%EB%B2%95.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:16:11 +0900] "GET /basicweb/images/devil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:16:11 +0900] "GET /basicweb/images/angel.png HTTP/1.1" 200 13136
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:20:38 +0900] "GET /basicweb/basic/01_jsp%EA%B8%B0%EC%B4%88%EB%AC%B8%EB%B2%95.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:44:58 +0900] "GET /basicweb/basic/01_jsp%EA%B8%B0%EC%B4%88%EB%AC%B8%EB%B2%95.jsp HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:44:58 +0900] "GET /basicweb/images/devil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:11:44:58 +0900] "GET /basicweb/images/angel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:12:03:36 +0900] "GET /basicweb/basic/02_%EC%84%B1%EC%A0%81%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [10/Jan/2020:12:10:08 +0900] "GET /basicweb/basic/02_%EC%84%B1%EC%A0%81%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [10/Jan/2020:12:22:37 +0900] "GET /basicweb/basic/02_%EC%84%B1%EC%A0%81%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [10/Jan/2020:12:46:26 +0900] "GET /basicweb/basic/03_%EB%B0%B0%EC%97%B4.jsp HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [10/Jan/2020:12:54:34 +0900] "GET /basicweb/basic/03_%EB%B0%B0%EC%97%B4.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [10/Jan/2020:13:06:00 +0900] "GET /basicweb/basic/04_%EB%A9%94%EC%86%8C%EB%93%9C.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:58:45 +0900] "GET /basicweb/basic/06_form%EA%B8%B0%EC%B4%88.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [10/Jan/2020:15:59:00 +0900] "GET /basicweb/basic/07_formok.jsp?uname=%EB%AC%B4%EA%B6%81%ED%99%94&kor=10&eng=20&mat=30 HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:02:38 +0900] "GET /basicweb/basic/07_formok.jsp?uname=%EB%AC%B4%EA%B6%81%ED%99%94&kor=10&eng=20&mat=30 HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:08:20 +0900] "GET /basicweb/basic/06_form%EA%B8%B0%EC%B4%88.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:08:31 +0900] "POST /basicweb/basic/07_formok.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:48:26 +0900] "GET /basicweb/basic/06_form%EA%B8%B0%EC%B4%88.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:48:31 +0900] "GET /basicweb/basic/06_form%EA%B8%B0%EC%B4%88.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:48:31 +0900] "GET /basicweb/basic/06_form%EA%B8%B0%EC%B4%88.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:48:32 +0900] "GET /basicweb/basic/06_form%EA%B8%B0%EC%B4%88.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [10/Jan/2020:16:48:42 +0900] "POST /basicweb/basic/07_formok.jsp HTTP/1.1" 200 514
